"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "JavaScript", "HTML", "Docker", "Ignore", "PostCSS", "Shell Script", "YAML", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\github\NODE-JS\work\periodtracker\app\src\components\SegmentControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 1, 9, 110
"d:\github\NODE-JS\work\periodtracker\app\src\components\Spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"d:\github\NODE-JS\work\periodtracker\app\src\components\SpinnerScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"d:\github\NODE-JS\work\periodtracker\app\src\components\Swiper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 22, 157
"d:\github\NODE-JS\work\periodtracker\app\src\components\Switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 9, 78
"d:\github\NODE-JS\work\periodtracker\app\src\components\Text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"d:\github\NODE-JS\work\periodtracker\app\src\components\TouchableRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 5, 62
"d:\github\NODE-JS\work\periodtracker\app\src\components\TutorialContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 1, 7, 67
"d:\github\NODE-JS\work\periodtracker\app\src\components\Vr.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\github\NODE-JS\work\periodtracker\app\src\components\WheelPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 1, 26, 244
"d:\github\NODE-JS\work\periodtracker\app\src\components\WheelPickerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 12, 128
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\Circle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 3, 72
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\CircleOutline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 3, 72
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\Cloud.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 3, 238
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\CloudOutline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 0, 0, 3, 226
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\Star.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 3, 117
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\StarOutline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 3, 117
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\UserIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 37
"d:\github\NODE-JS\work\periodtracker\app\src\components\icons\types.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\github\NODE-JS\work\periodtracker\app\src\config\UIConfig.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 112
