Date : 2026-01-16 09:51:03
Directory : d:\github\NODE-JS\work\periodtracker
Total : 606 files,  81852 codes, 1580 comments, 7072 blanks, all 90504 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\survey.test.ts                                                      | TypeScript         |         69 |          0 |          8 |         77 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthCardBody.test.tsx                         | TypeScript JSX     |         23 |          0 |          5 |         28 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthHeader.test.tsx                           | TypeScript JSX     |         24 |          0 |          5 |         29 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthLinks.test.tsx                            | TypeScript JSX     |         19 |          0 |          3 |         22 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthToggle.test.tsx                           | TypeScript JSX     |         19 |          0 |          3 |         22 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\SignUp\components\AskAge.text.tsx             | TypeScript JSX     |         69 |          6 |         23 |         98 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\SignUp\components\AskAgree.test.tsx           | TypeScript JSX     |         81 |          2 |         23 |        106 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\SignUp\components\AskLocation.test.tsx        | TypeScript JSX     |         24 |          0 |          5 |         29 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\DayScreen\components\DayTracker\DidYouKnowCard.test.tsx             | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\EncyclopediaScreen\components\HelpCard.test.tsx                     | TypeScript JSX     |         27 |          0 |          5 |         32 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\FindHelpScreen\components\HelpCenterCard.test.tsx                   | TypeScript JSX     |         54 |          1 |          6 |         61 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\MainScreen\components\CenterCard.test.tsx                           | TypeScript JSX     |         77 |          0 |          8 |         85 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\ProfileScreen\components\CycleCard.test.tsx                         | TypeScript JSX     |         55 |          0 |          7 |         62 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\services\asset.test.ts                                                      | TypeScript         |         39 |          0 |         10 |         49 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\services\auth.test.ts                                                       | TypeScript         |         21 |          0 |          7 |         28 |
